@relation 'generators.HyperplaneGenerator -a 7'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.583354,0.042298,0.761675,0.623973,0.879263,0.450218,0.004853,class1
0.683527,0.48626,0.487515,0.126575,0.130209,0.206276,0.845656,class1
0.233156,0.889909,0.038327,0.592379,0.655174,0.119839,0.652477,class1
0.029818,0.81117,0.945416,0.152734,0.910276,0.999146,0.539993,class1
0.265155,0.362896,0.878429,0.290732,0.051448,0.18354,0.63687,class1
0.50766,0.491451,0.428784,0.308093,0.717322,0.962415,0.209493,class1
0.304236,0.808241,0.427352,0.055122,0.139614,0.596579,0.94726,class1
0.616951,0.481862,0.09975,0.617146,0.02812,0.591439,0.073026,class1
0.642382,0.353339,0.154975,0.366771,0.563477,0.241606,0.018003,class1
0.423233,0.375808,0.271293,0.729824,0.886744,0.043703,0.4577,class2
0.907281,0.246486,0.248489,0.706858,0.337721,0.607335,0.315423,class1
0.644012,0.11049,0.774604,0.306483,0.880599,0.630401,0.928894,class2
0.241336,0.424253,0.565015,0.049864,0.896314,0.29232,0.797563,class2
0.78861,0.007994,0.041043,0.449685,0.267898,0.947848,0.373645,class1
0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,0.266417,class1
0.407575,0.335658,0.137881,0.051575,0.099321,0.679807,0.416175,class1
0.609141,0.178662,0.029633,0.708154,0.277778,0.115788,0.691226,class1
0.394702,0.337935,0.833798,0.388261,0.682843,0.487137,0.072037,class1
0.601031,0.53079,0.18881,0.466575,0.200704,0.891289,0.156153,class1
0.696113,0.094877,0.958808,0.129678,0.023599,0.084721,0.052321,class1
0.544344,0.701811,0.183051,0.347333,0.039794,0.249285,0.796681,class1
0.160431,0.717153,0.827008,0.384212,0.65843,0.228219,0.240578,class1
0.445021,0.232071,0.060979,0.207124,0.248799,0.425599,0.36726,class1
0.631842,0.884465,0.657482,0.643277,0.067801,0.60272,0.552196,class1
0.320767,0.49671,0.60197,0.782733,0.096795,0.940862,0.095142,class1
0.568817,0.98339,0.92728,0.198486,0.032063,0.37464,0.409961,class1
0.813478,0.343646,0.129746,0.40723,0.271387,0.08841,0.177654,class1
0.538994,0.804852,0.849638,0.093962,0.565148,0.947068,0.275139,class1
0.941414,0.934324,0.608501,0.488236,0.331172,0.403636,0.069742,class2
0.850822,0.196371,0.47554,0.572311,0.284694,0.061952,0.092116,class1
0.723056,0.180322,0.333478,0.822739,0.196066,0.262238,0.065847,class1
0.074619,0.879717,0.776514,0.755489,0.649751,0.164062,0.982472,class1
0.025054,0.905967,0.622002,0.720459,0.253065,0.469767,0.277947,class1
0.131164,0.388459,0.008332,0.12131,0.305591,0.990494,0.439371,class1
0.00805,0.326808,0.766812,0.379037,0.350387,0.175441,0.245401,class1
0.290764,0.582653,0.021815,0.95118,0.396193,0.90258,0.433918,class1
0.639848,0.271923,0.833682,0.008939,0.323954,0.135224,0.268788,class1
0.505182,0.126911,0.504696,0.670188,0.122538,0.959658,0.502627,class1
0.995015,0.160896,0.362982,0.51706,0.295491,0.55996,0.290649,class1
0.209932,0.000758,0.877347,0.755858,0.352414,0.567698,0.207071,class1
0.459619,0.353626,0.508508,0.309762,0.148326,0.407753,0.304123,class1
0.240097,0.847232,0.036824,0.139919,0.772348,0.449267,0.647154,class2
0.765144,0.709966,0.404883,0.499229,0.054767,0.929889,0.509917,class1
0.498336,0.335253,0.319649,0.842762,0.053801,0.899508,0.732109,class1
0.390977,0.306289,0.788428,0.253371,0.357973,0.756916,0.661319,class1
0.894363,0.791233,0.597972,0.107555,0.556761,0.015258,0.300666,class1
0.779595,0.838971,0.05186,0.911553,0.123841,0.522001,0.815509,class2
0.1359,0.218967,0.778364,0.91597,0.738596,0.637082,0.975233,class2
0.870495,0.421653,0.29632,0.667281,0.048151,0.897796,0.373185,class1
0.123184,0.051018,0.137179,0.281616,0.27573,0.85916,0.777755,class1
0.358209,0.099156,0.066409,0.013782,0.201763,0.615626,0.813761,class1
0.09091,0.105562,0.789067,0.408857,0.558293,0.4404,0.338748,class1
0.782497,0.567145,0.530583,0.827108,0.129094,0.663956,0.343533,class1
0.989627,0.345023,0.278304,0.165468,0.616906,0.186766,0.771247,class1
0.219322,0.916455,0.908654,0.803857,0.185274,0.73857,0.104451,class1
0.258865,0.06026,0.040095,0.160207,0.112859,0.28103,0.236544,class1
0.029344,0.322,0.203602,0.956878,0.819398,0.733129,0.086223,class1
0.701879,0.082567,0.526922,0.108722,0.4225,0.866156,0.632619,class1
0.240757,0.037704,0.308281,0.46728,0.606733,0.847185,0.00182,class1
0.945099,0.095314,0.909548,0.127002,0.095642,0.209508,0.787658,class2
0.683264,0.268461,0.857174,0.309335,0.227406,0.513623,0.128794,class1
0.368645,0.13938,0.790341,0.148462,0.838793,0.924464,0.165627,class1
0.552675,0.128149,0.838603,0.146598,0.788248,0.853984,0.143624,class1
0.011615,0.926803,0.390179,0.21845,0.081255,0.881681,0.648277,class1
0.793369,0.73283,0.957341,0.778299,0.32086,0.524526,0.032126,class1
0.32394,0.933097,0.536036,0.034993,0.671565,0.535315,0.283961,class1
0.012575,0.398329,0.992565,0.113168,0.942961,0.095884,0.055772,class1
0.675846,0.614701,0.78117,0.99288,0.082593,0.446116,0.090391,class1
0.084045,0.876663,0.140417,0.265011,0.17296,0.209366,0.975174,class1
