@relation 'generators.HyperplaneGenerator -i 2 -a 7 -n 10'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.522141,0.674053,0.334365,0.796836,0.171568,0.164267,0.593331,class1
0.130926,0.057926,0.46031,0.467953,0.253114,0.789342,0.771926,class1
0.539506,0.418686,0.428763,0.722599,0.752627,0.467872,0.800072,class1
0.320664,0.982789,0.959581,0.552093,0.021199,0.591045,0.977304,class1
0.710306,0.218761,0.806938,0.147994,0.13342,0.528053,0.144244,class1
0.248909,0.120666,0.502616,0.524785,0.01609,0.561025,0.744649,class1
0.624943,0.342524,0.75103,0.455813,0.106535,0.48956,0.002797,class1
0.214471,0.011242,0.039935,0.869948,0.180971,0.191836,0.113453,class1
0.495383,0.89012,0.013334,0.385417,0.301615,0.418342,0.951253,class1
0.829392,0.340756,0.611701,0.893814,0.915912,0.027736,0.323963,class1
0.154175,0.812905,0.07431,0.426948,0.67739,0.35938,0.085658,class1
0.820931,0.163002,0.131608,0.504414,0.515286,0.050566,0.620436,class1
0.073622,0.101756,0.950498,0.870356,0.884282,0.257203,0.236162,class1
0.601559,0.415043,0.120647,0.152066,0.090098,0.920079,0.276217,class1
0.164187,0.690771,0.80963,0.246027,0.06802,0.534504,0.510641,class1
0.64243,0.640714,0.221055,0.127956,0.298166,0.406323,0.166027,class1
0.869552,0.782473,0.765368,0.657065,0.979183,0.9995,0.2816,class1
0.915616,0.40242,0.357724,0.660963,0.282107,0.389857,0.036027,class1
0.542115,0.28498,0.336084,0.440861,0.738723,0.33201,0.647094,class1
0.208202,0.646776,0.220056,0.016126,0.852636,0.377994,0.320922,class1
0.532148,0.317194,0.290239,0.841268,0.274441,0.356066,0.357827,class1
0.134049,0.057848,0.853776,0.68105,0.194536,0.668323,0.442506,class1
0.793112,-0.102731,0.426267,0.708284,0.629843,0.477956,0.849324,class1
