@relation 'generators.RandomRBFGenerator -a 7 -n 25'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.985984,0.629376,0.15266,0.29592,0.340748,0.402017,0.622545,class2
0.735314,0.150513,0.644851,0.929055,0.733566,0.231809,0.629005,class2
0.89936,0.859367,0.253572,0.505306,0.165282,0.599871,0.155369,class2
0.396088,0.635169,-0.108148,0.464669,-0.025325,0.486401,0.817214,class2
0.58684,0.007288,0.547561,0.845408,0.771949,0.339297,0.490837,class2
0.5221,0.494803,0.041612,0.887227,0.872539,1.011676,0.700191,class2
0.006444,0.053186,0.48557,-0.00518,0.268127,0.251739,0.292204,class2
-0.561874,0.696146,0.203728,0.812496,-0.45405,0.266517,0.844311,class2
0.856378,0.783298,0.073887,0.742758,0.018518,0.547578,0.11526,class2
0.054972,0.527677,0.321412,0.416492,0.216182,0.645575,0.735778,class2
0.057987,0.36036,0.433041,0.418802,0.265817,0.706471,0.815386,class2
0.307435,0.334688,0.588576,0.274665,0.791892,-0.034432,0.725661,class2
0.577178,0.126092,0.537303,0.179033,0.002776,0.685047,0.271431,class2
0.349277,0.843948,0.759528,0.312941,0.652405,0.118169,1.02358,class2
0.703354,0.713793,0.28714,0.424907,0.027686,1.010833,0.06773,class2
0.351747,0.077528,0.425259,0.301418,1.091916,-0.009672,0.510327,class2
-0.147297,1.039177,0.614997,0.100609,0.104181,0.949921,0.095475,class2
0.167512,0.237028,0.911684,0.604003,0.714419,0.083731,0.970627,class2
0.789615,0.42175,0.753359,0.353319,-0.042008,0.785567,0.090041,class2
0.684848,0.51162,-0.086306,0.040433,1.305857,0.335522,1.171967,class2
0.710459,-0.014642,0.586975,0.059312,-0.031022,0.7101,0.362568,class2
0.630223,-0.036101,0.662808,-0.074686,-0.010288,0.595726,0.27198,class2
0.341291,0.215861,0.571663,-0.078669,0.86555,0.241685,-0.542661,class1
0.741245,0.244774,0.06836,0.537696,0.837175,0.57979,0.703825,class1
0.046249,-0.015841,0.491071,0.680713,0.629912,-0.040993,0.707968,class1
0.633871,0.222843,-0.176431,1.285442,0.405599,0.705783,1.079317,class2
0.849228,0.287858,0.322029,0.352455,1.059948,0.098329,1.047631,class2
0.125902,0.484036,0.466612,0.404876,0.915457,0.915422,1.223405,class2
0.724205,-0.107252,0.628465,0.937369,0.702377,0.435135,0.504352,class2
0.595407,0.219858,0.069977,0.8684,0.561138,0.693117,1.028221,class2
0.773042,0.590149,0.241007,0.334914,0.829744,-0.081493,0.926102,class2
0.774957,0.829419,0.151831,0.654998,0.014412,0.657515,0.221031,class2
0.384213,0.234129,0.431821,0.255804,0.897326,0.060965,0.599996,class2
0.6663,-0.024696,0.595008,0.852955,0.781429,0.392371,0.517715,class2
0.753409,-0.077905,0.479644,0.956477,0.588492,0.50952,0.536975,class2
0.570741,-0.068607,0.504974,0.75718,0.716532,0.436073,0.562721,class2
0.256415,0.533778,0.249964,0.730975,0.463012,0.386187,1.074746,class2
0.531492,0.351958,0.593398,0.148377,1.003174,-0.112759,0.474922,class2
0.620036,-0.015263,0.517254,0.851872,0.760139,0.379419,0.577667,class2
0.246443,0.129173,0.258234,0.978438,0.914173,0.175172,1.090212,class2
0.626169,0.026891,0.600277,0.077046,0.070639,0.680263,0.288601,class2
0.693539,0.330071,0.303224,0.242308,0.855113,0.084821,1.017909,class2
0.542171,0.144979,0.209476,0.969675,0.825557,0.409193,1.085871,class2
0.777958,0.524704,0.003554,0.652058,0.143334,0.643914,0.999041,class2
0.93864,0.18967,0.182955,0.41733,1.014815,0.369146,0.669547,class1
0.700532,-0.041672,0.562321,0.886258,0.806729,0.374947,0.5147,class2
0.607585,0.018394,0.509833,0.847332,0.778696,0.405594,0.59555,class2
0.379271,0.176221,0.39773,0.261215,0.946203,0.041797,0.588569,class2
0.105747,-0.152016,0.614795,0.863767,0.591921,0.1224,0.856543,class1
1.032812,0.541485,0.293964,0.317404,0.347597,0.381142,0.952505,class2
0.294703,0.367073,0.354268,0.374302,1.02435,-0.044253,0.712001,class2
-0.69691,0.84894,0.50043,-0.164322,0.148814,0.767484,0.657322,class2
0.443541,0.961078,0.061917,0.375286,0.773145,0.521172,0.668809,class1
0.985984,0.629376,0.15266,0.29592,0.340748,0.402017,0.622545,class2
0.841105,0.846281,0.192507,0.676527,-0.032761,0.653309,0.234599,class2
0.152586,0.425414,-0.372026,0.69646,0.675765,0.41458,1.05977,class2
-0.04101,0.457009,0.630151,0.699299,0.760009,0.263573,0.712028,class2
0.416071,0.119101,-0.272269,0.654871,0.811959,0.51772,0.96497,class2
-0.07617,-0.734401,0.080766,0.166376,0.48583,1.450833,0.849705,class2
0.593015,0.021521,0.427389,0.916252,0.780798,0.411609,0.605944,class2
0.710929,0.576401,0.041923,1.122889,0.565324,1.007086,0.998158,class2
0.520471,0.217937,0.710389,0.346629,0.653699,0.065067,0.56912,class2
0.721696,0.407875,-0.177989,0.303945,-0.143166,0.765981,0.885586,class2
0.601149,-0.043703,0.565824,0.821317,0.806456,0.314095,0.60791,class2
0.739815,0.202907,0.024582,0.87896,0.692011,0.5622,1.078453,class2
0.035654,0.645567,0.456129,0.380181,-0.019517,0.754143,0.853345,class2
0.011782,0.931247,0.071111,0.486122,0.384946,-0.196226,0.533919,class2
0.711776,0.131722,0.058313,0.903975,0.433871,0.732266,1.018291,class2
-0.241707,0.918616,0.697963,0.700629,0.330224,1.082279,0.852705,class2
0.274771,0.013687,0.159097,0.731981,1.046509,0.505869,0.869828,class2
0.246372,0.313518,-0.184305,0.887678,0.715386,0.71126,0.886178,class2
0.709601,-0.070601,0.479215,0.761641,0.700821,0.348084,0.602902,class2
0.720233,0.721393,0.268578,0.616761,0.057117,0.595688,0.158183,class2
0.127955,0.647162,0.530721,-0.017688,0.562272,0.606992,0.487213,class2
0.416896,0.137662,0.36643,0.852178,0.447639,0.800868,0.605224,class2
-0.065629,0.223744,1.226514,1.311979,0.017192,1.273394,1.451055,class2
0.192084,0.612567,0.511147,0.509536,0.079492,0.735048,0.842949,class2
0.795094,0.818488,0.183821,0.635602,-0.011685,0.61831,0.191626,class2
0.696215,-0.061398,0.643689,0.90584,0.720798,0.288553,0.608742,class2
0.669087,0.46809,0.154068,0.333827,0.968174,0.082046,0.983792,class2
-0.405862,0.049886,0.379844,0.701782,0.320009,0.094986,0.938533,class2
-0.107003,0.538528,0.725329,0.848066,0.864717,0.421704,0.610004,class2
0.590179,0.284657,-0.021412,0.785793,0.490254,0.578297,0.958305,class2
0.039761,0.433127,0.694264,0.715602,0.767389,0.283035,0.778533,class2
0.347977,0.585787,0.627407,0.678164,0.553342,0.541908,0.572829,class2
0.426539,0.337122,0.589786,0.424468,0.889071,-0.032205,0.710724,class2
1.306059,0.609555,-0.096855,1.048908,-0.424042,0.408831,0.5748,class2
0.401439,0.211562,0.449626,0.209419,0.86803,0.017199,0.610993,class2
0.611374,0.96079,-0.023409,0.594653,-0.060323,0.841854,0.388608,class2
0.771709,0.166387,0.349801,0.880921,0.202088,0.994853,0.995408,class1
0.01988,0.960112,0.3183,0.307178,0.201486,0.736082,0.304642,class1
0.692364,0.468098,-0.265385,0.815726,0.748252,-0.409376,1.352026,class2
0.751307,-0.063913,0.497277,0.20043,-0.038679,0.701179,0.181432,class2
0.417508,0.208599,0.429473,0.215738,0.890711,0.029714,0.59546,class2
0.491575,0.123959,0.347558,0.322753,0.785302,0.127625,0.494294,class2
0.187364,-0.17243,1.169629,1.205492,1.452354,-0.121588,1.155052,class2
0.095566,0.583447,0.729019,0.515585,0.663317,0.44212,0.597524,class2
1.028051,0.672774,0.19561,0.884882,0.271308,0.646512,0.475932,class2
0.858763,0.77462,0.115566,0.582575,0.040634,0.689807,0.248357,class2
-0.100424,0.392453,0.366374,0.474166,0.306726,0.545382,0.856978,class2
0.873751,0.484462,0.383056,0.405509,0.197283,0.722431,0.917729,class1
0.902854,0.222913,0.327905,0.253605,0.590497,-0.567667,1.494867,class2
0.216607,0.253465,0.404637,0.700912,0.404061,0.814595,0.456922,class1
-0.527656,-0.263754,0.458015,0.171163,0.803371,1.033733,0.83909,class2
0.523882,0.678103,1.184609,0.798006,0.166672,0.635145,0.392215,class2
0.906691,0.230044,0.164631,0.485766,0.917063,0.501497,0.69513,class1
0.099343,0.390517,0.57722,0.64327,0.763607,0.416107,0.736446,class2
0.797045,-0.023848,0.532169,0.916554,0.655002,0.183604,0.344483,class2
0.414915,0.227808,0.441972,0.238087,0.905895,0.027274,0.609123,class2
0.808487,0.47691,0.253119,0.491587,0.828726,1.305076,0.649969,class2
0.412719,0.213217,0.452431,0.253137,0.876133,0.063611,0.562321,class2
0.716907,0.989285,0.168251,0.7091,0.074378,0.820916,0.398667,class2
0.308878,0.33487,1.005897,0.679285,0.272256,0.913864,0.146778,class2
0.048809,0.468535,0.855346,0.899342,0.06676,0.767648,0.414498,class2
0.283851,-0.296185,0.075288,0.998797,0.644529,0.325649,0.649512,class1
0.862437,-0.146518,0.591949,0.323549,0.487402,0.658666,0.782666,class1
0.884337,0.403625,0.429956,0.519741,0.9182,-0.019473,0.765366,class2
0.561985,0.258252,-0.002837,0.830137,0.525159,0.6563,0.991465,class2
0.742696,0.543024,-0.052066,0.627704,0.508263,0.27544,0.800052,class2
0.957494,0.862731,0.260631,0.726098,-0.146344,0.586504,0.327632,class2
0.684164,-0.252068,0.207718,0.886879,1.030539,0.478784,0.574973,class2
0.396148,0.229481,0.459226,0.246511,0.876032,0.022809,0.566497,class2
0.629459,0.039212,0.531024,0.81288,0.703453,0.376555,0.502715,class2
0.906041,-0.489899,-0.906603,0.527827,1.202152,1.012255,1.170104,class2
0.360038,0.362456,0.139407,0.769826,0.519797,1.014921,0.787878,class2
-0.135473,0.627561,0.476526,0.849679,0.827387,0.386067,0.578562,class2
0.312786,0.754446,1.050175,1.166376,0.312975,0.605436,0.370124,class2
0.650678,0.001225,0.543779,0.825004,0.733817,0.362488,0.559683,class2
1.701516,-0.577252,1.357687,0.039618,0.675995,1.290081,0.222611,class1
0.62859,0.0891,0.455118,0.872267,0.799787,0.404753,0.508896,class2
0.680109,0.097624,0.622694,0.05295,0.105862,0.646516,0.184147,class2
0.590385,0.303643,0.184421,0.665805,0.377976,0.464527,1.097107,class2
0.687475,0.029453,0.526063,0.794203,0.776778,0.348739,0.599635,class2
0.39767,0.278357,0.537116,0.318612,0.961523,-0.113445,0.570863,class2
0.930853,0.556771,0.117578,0.22244,0.929986,-0.319828,0.891802,class2
0.653131,0.455987,0.182559,0.398041,0.992427,-0.075306,0.920858,class2
0.717223,0.477458,0.144469,0.314265,0.95832,0.008084,0.980718,class2
0.372173,0.309035,0.466918,0.307612,0.699117,0.210883,0.52326,class2
0.384026,0.398076,0.27499,0.747975,-0.012622,0.258842,0.851001,class2
0.477377,-0.00927,0.643093,0.228981,0.221915,0.572194,0.257113,class2
1.078227,0.857887,0.179234,0.726271,-0.087979,0.837186,-0.104144,class2
-0.279333,0.846215,1.478771,1.307431,-0.909884,1.01532,1.461183,class2
0.611845,0.027128,0.587303,0.071487,0.071257,0.682289,0.284741,class2
0.602448,0.821721,0.160276,0.446401,-0.193009,0.636512,0.006333,class2
0.071869,0.265631,0.374365,0.478679,0.266044,0.539388,0.555434,class2
0.370162,0.249094,0.364299,0.461371,0.819467,-0.032541,0.863289,class2
0.610012,0.589212,0.095319,0.104104,1.079941,0.008447,0.434498,class2
0.411568,0.516397,0.988466,0.091838,0.14273,0.94521,0.435662,class2
-0.041581,0.337381,0.853127,1.064054,0.066804,0.649245,0.252034,class2
-1.418026,1.674759,0.883253,-0.058293,-1.555325,1.727094,-0.090675,class2
0.384474,0.213252,0.435211,0.222398,0.885821,0.030968,0.599698,class2
0.182684,0.402652,0.339487,0.06911,0.602428,0.527823,0.564439,class2
0.317357,0.050304,0.489711,0.084742,1.091712,0.050919,0.476074,class2
0.056008,0.092126,0.578925,1.124579,0.028953,0.480654,0.602947,class2
0.75694,0.414232,0.320066,0.824059,0.795985,0.957397,0.708347,class2
-0.012012,0.587697,0.434914,0.213705,0.723599,0.775872,0.372675,class2
0.790981,0.778168,0.230446,0.588805,0.037446,0.740044,0.167441,class2
-0.448175,0.70255,0.451712,1.362594,-0.068425,0.657811,0.293999,class2
