@relation 'generators.RandomRBFGenerator -r 2 -i 2 -a 7'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.789615,0.42175,0.753359,0.353319,-0.042008,0.785567,0.090041,class2
0.793112,-0.102731,0.426267,0.708284,0.629843,0.477956,0.849324,class1
-0.217765,0.650558,0.714668,0.513409,1.061691,1.116401,0.945665,class1
0.511205,0.066873,0.409,0.345087,0.581657,0.72891,0.112762,class1
0.771709,0.166387,0.349801,0.880921,0.202088,0.994853,0.995408,class1
0.875206,0.85663,0.538375,0.882708,0.854427,1.118764,0.158462,class1
0.742696,0.543024,-0.052066,0.627704,0.508263,0.27544,0.800052,class2
0.744313,0.272254,0.170305,0.194745,0.903882,0.839851,0.863445,class1
0.920044,0.110428,0.766499,0.597854,0.857748,0.187509,0.523848,class1
0.992916,0.826298,1.294098,0.475078,0.509654,-0.190913,0.727352,class1
0.249456,0.28706,1.063703,0.178339,0.319893,1.366206,-0.139328,class1
0.789411,-0.097008,0.423089,0.029649,0.969958,0.101349,0.883368,class2
0.134257,0.700381,0.635241,0.565245,0.187369,0.701188,0.866728,class1
0.649864,0.583931,0.835596,0.360231,0.509478,0.049419,0.89461,class1
0.108992,0.519148,1.029387,0.976322,0.899424,0.86021,0.640192,class1
0.95928,0.228765,0.6602,0.664817,0.835135,0.319305,0.486131,class1
0.167655,0.232577,0.952939,0.555162,0.199387,0.659591,0.731801,class1
0.714397,0.612021,0.799781,0.200589,0.159945,0.985614,0.033001,class1
0.677651,0.575822,0.830809,0.230252,0.139025,0.973714,0.060204,class1
0.4122,0.020543,0.482884,0.156299,0.098922,0.57643,0.770221,class1
0.600838,0.272376,0.454877,0.064341,1.248009,0.05299,0.328563,class1
0.653067,0.570622,0.827981,0.344393,0.487291,0.070318,0.920721,class1
0.392244,1.22057,0.398771,0.514303,0.528481,0.811724,1.147492,class1
0.177248,0.312475,0.327749,0.533049,0.704007,0.54184,0.881234,class1
1.169322,0.424773,0.774481,-0.07505,1.305135,-0.232904,0.984682,class1
0.847547,0.150253,0.353492,0.794205,0.297926,0.909191,0.95693,class1
0.407667,0.098865,0.06037,0.757789,0.891764,0.756971,0.984639,class1
0.713929,0.597864,0.831737,0.215793,0.16157,0.967815,0.005778,class1
0.187041,-0.009323,0.049225,0.365722,0.677284,0.649053,0.611154,class1
0.094916,0.279956,0.20452,0.817093,0.630907,0.174369,1.007869,class1
-0.142624,-0.387611,-0.145911,0.292713,1.701507,0.687243,1.175779,class1
0.935083,0.588077,1.451254,0.45853,0.739916,-0.220717,0.302304,class1
0.455006,0.128587,0.469905,0.222046,0.338545,0.614146,0.663751,class1
0.429369,-0.008389,0.603524,0.279349,0.189022,0.686323,0.832575,class1
1.385207,-0.127882,0.467752,1.100188,1.152836,0.792195,0.623737,class1
0.901698,0.140625,0.335871,0.821643,0.229045,0.929501,0.9813,class1
0.868886,0.200621,1.058942,0.194178,0.731478,0.383608,-0.087385,class1
1.176912,0.200636,1.223421,0.740283,0.257428,1.061882,0.548258,class2
0.826898,0.223882,0.338139,0.798854,0.278399,0.960069,0.957432,class1
0.607832,0.617773,0.823294,0.171408,0.267825,1.033358,0.371654,class2
0.541316,0.353379,0.256267,0.38015,0.061563,0.757942,0.834807,class1
0.246935,0.878647,0.082638,0.080891,0.375322,0.595591,0.905896,class1
0.355548,0.231825,0.762569,1.459777,0.847792,0.347864,1.513677,class1
0.309146,0.229971,0.060269,0.080794,0.131912,0.497316,0.470221,class1
0.785813,0.685686,0.942934,0.199835,0.501633,0.158507,0.428957,class1
0.383073,0.939405,1.006235,0.255584,0.481796,0.450451,0.284378,class1
0.092533,0.020438,0.075049,0.407029,0.69263,0.534622,0.686559,class1
0.534487,-0.151016,-0.235383,0.049594,0.149729,0.452286,0.7233,class1
0.567372,0.941701,-0.031428,0.573159,0.939778,0.365222,0.90405,class1
0.901024,0.198742,0.350647,0.806443,0.247577,0.937211,0.960719,class1
0.771659,0.943149,1.091334,0.137754,0.605712,0.197815,0.352636,class1
0.139543,0.811694,0.441858,0.048539,0.447216,0.554121,0.447829,class2
0.812727,0.919192,0.666465,0.643281,0.406594,0.477905,0.60954,class2
0.246776,0.878769,0.08239,0.080864,0.375594,0.595802,0.905439,class1
0.396088,0.635169,-0.108148,0.464669,-0.025325,0.486401,0.817214,class2
0.023374,0.455477,0.961171,1.036304,1.031933,0.756888,0.763548,class1
0.443344,0.596398,0.243571,0.422111,0.915311,0.367079,0.728241,class1
0.179789,0.644326,0.653353,0.585684,0.167577,0.739167,0.817835,class1
0.171212,0.639805,0.646156,0.603805,0.160108,0.752558,0.821738,class1
1.072747,0.809227,-0.853386,0.012448,0.756385,0.027061,0.147702,class1
0.850437,0.168256,0.384333,0.792728,0.254905,0.97867,0.940112,class1
0.702294,0.103713,0.42906,-0.092453,0.913454,0.140743,0.826206,class2
0.881523,0.173459,0.371717,0.814481,0.233768,0.96098,0.939024,class1
0.246785,0.878628,0.082356,0.080783,0.375307,0.595527,0.905691,class1
0.544281,0.562582,0.945359,0.153366,0.271114,1.006829,0.287102,class2
0.100603,0.507926,0.987651,0.597733,0.287018,0.296882,0.630093,class1
0.177186,0.911472,0.089395,0.814302,0.16816,0.114693,0.500463,class2
0.337562,0.634747,0.107112,0.547515,0.965123,0.28235,0.736672,class1
0.900637,0.031932,0.380841,1.183532,0.720283,0.812347,0.16624,class1
0.286834,0.664887,0.813867,0.583512,0.113404,0.6197,-0.07614,class1
