@relation 'generators.HyperplaneGenerator -a 7'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.939865,0.947195,0.937082,0.397174,0.347518,0.294057,0.506484,class2
0.583354,0.042298,0.761675,0.623973,0.879263,0.450218,0.004853,class1
0.683527,0.48626,0.487515,0.126575,0.130209,0.206276,0.845656,class1
0.233156,0.889909,0.038327,0.592379,0.655174,0.119839,0.652477,class1
0.265155,0.362896,0.878429,0.290732,0.051448,0.18354,0.63687,class1
0.50766,0.491451,0.428784,0.308093,0.717322,0.962415,0.209493,class1
0.983103,0.803619,0.836315,0.163104,0.637497,0.00876,0.63119,class2
0.304236,0.808241,0.427352,0.055122,0.139614,0.596579,0.94726,class1
0.616951,0.481862,0.09975,0.617146,0.02812,0.591439,0.073026,class1
0.642382,0.353339,0.154975,0.366771,0.563477,0.241606,0.018003,class1
0.084252,0.557856,0.261327,0.596687,0.967979,0.630471,0.552808,class2
0.907281,0.246486,0.248489,0.706858,0.337721,0.607335,0.315423,class1
0.78861,0.007994,0.041043,0.449685,0.267898,0.947848,0.373645,class1
0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,0.266417,class1
0.407575,0.335658,0.137881,0.051575,0.099321,0.679807,0.416175,class1
0.609141,0.178662,0.029633,0.708154,0.277778,0.115788,0.691226,class1
0.394702,0.337935,0.833798,0.388261,0.682843,0.487137,0.072037,class1
0.601031,0.53079,0.18881,0.466575,0.200704,0.891289,0.156153,class1
0.696113,0.094877,0.958808,0.129678,0.023599,0.084721,0.052321,class1
0.979984,0.370299,0.871794,0.051752,0.726193,0.570089,0.03988,class2
0.544344,0.701811,0.183051,0.347333,0.039794,0.249285,0.796681,class1
0.160431,0.717153,0.827008,0.384212,0.65843,0.228219,0.240578,class1
0.631842,0.884465,0.657482,0.643277,0.067801,0.60272,0.552196,class1
0.320767,0.49671,0.60197,0.782733,0.096795,0.940862,0.095142,class1
0.568817,0.98339,0.92728,0.198486,0.032063,0.37464,0.409961,class1
0.813478,0.343646,0.129746,0.40723,0.271387,0.08841,0.177654,class1
0.538994,0.804852,0.849638,0.093962,0.565148,0.947068,0.275139,class1
0.850822,0.196371,0.47554,0.572311,0.284694,0.061952,0.092116,class1
0.723056,0.180322,0.333478,0.822739,0.196066,0.262238,0.065847,class1
