@relation 'generators.HyperplaneGenerator -i 3 -a 7 -n 15'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.542546,0.463468,0.810135,0.405882,0.074133,0.926251,0.730505,class2
0.89061,0.535758,0.571671,0.254115,0.690779,0.961211,0.333785,class2
0.960797,0.174616,0.698569,0.839691,0.873553,0.609556,0.065371,class2
0.084984,0.832115,0.424585,0.615891,0.340646,0.830043,0.657814,class2
0.354854,0.447129,0.063485,0.278003,0.643047,0.741931,0.137436,class2
0.173178,0.69973,0.978786,0.34748,0.040314,0.653243,0.320252,class2
0.561826,0.004745,0.914981,0.779345,0.030378,0.877844,0.401458,class2
0.796553,0.965859,0.075043,0.406845,0.997783,0.611233,0.356465,class2
0.855506,0.117374,0.642834,0.770727,0.318944,0.781475,0.589783,class2
0.072517,0.010159,0.040304,0.72986,0.209946,0.777174,0.866851,class2
0.257373,0.582165,0.341064,0.336647,0.682804,0.322302,0.04566,class2
0.016479,0.220554,0.800366,0.353468,0.376631,0.92698,0.885682,class2
0.86594,0.056007,0.358364,0.564131,0.621013,0.442432,0.54149,class2
0.85949,0.313285,0.18152,0.012139,0.817219,0.468018,0.678424,class2
0.646999,0.659405,0.746629,0.667245,0.698844,0.970082,0.299275,class2
0.224203,0.754836,0.890704,0.707076,0.87312,0.428184,0.755649,class2
0.458525,0.83555,0.2995,0.889753,0.534669,0.676333,0.622912,class2
0.175076,0.72893,0.768163,0.277057,0.685017,0.961986,0.844613,class2
0.890454,0.542099,0.275072,0.684917,0.689373,0.971395,0.353864,class2
0.292204,0.298547,0.702751,0.88837,0.156081,0.988464,0.534841,class2
0.55454,0.451267,0.297404,0.517956,0.93349,0.162588,0.898213,class2
0.217551,0.013047,0.901036,0.453156,0.036867,0.001374,0.768782,class2
0.492553,0.770421,0.992651,0.63106,0.31061,0.74921,0.70736,class2
0.733554,0.909264,0.39602,0.725447,0.001695,0.715029,0.658649,class2
0.334962,0.826734,0.861947,0.850296,0.178964,0.813612,0.685652,class2
0.301876,0.983928,0.832022,0.301196,0.22124,0.914467,0.895546,class2
0.158402,0.838943,0.631084,0.044516,0.64662,0.152522,0.727959,class1
0.29349,0.360798,0.402932,0.782832,0.178025,0.933404,0.669455,class2
0.34045,0.194606,0.707842,0.867749,0.773227,0.200975,0.300018,class2
0.254581,0.089541,0.334999,0.891925,0.890577,0.184527,0.615174,class2
0.254238,0.223232,0.189455,0.848692,0.592732,0.253632,0.677814,class2
0.776918,0.49979,0.173726,0.91956,0.951543,0.98178,0.90508,class2
0.920078,0.087764,0.646238,0.954455,0.055657,0.271939,0.42982,class2
0.052899,0.225714,0.882906,0.510299,0.729293,0.844491,0.789401,class2
0.765145,0.992491,0.401962,0.39465,0.504651,0.736899,0.216284,class2
0.624479,0.370795,0.531257,0.125175,0.205194,0.831568,0.930058,class2
0.827371,0.331008,0.242052,0.681455,0.568005,0.743117,0.668455,class2
0.566289,0.200462,0.953872,0.384303,0.588651,0.782139,0.250079,class2
0.155944,0.291674,0.758224,0.49812,0.7026,0.314573,0.761179,class1
0.670555,0.451704,0.199245,0.640247,0.962742,0.662426,0.502639,class2
0.359299,0.659108,0.602938,0.87943,0.867992,0.142975,0.888149,class2
0.943961,0.396047,0.234506,0.262238,0.179065,0.888383,0.961504,class2
0.971119,0.085937,0.252622,0.696676,0.977527,0.068297,0.016698,class2
0.969429,0.627366,0.325893,0.120139,0.092624,0.512648,0.929404,class2
0.639749,0.719763,0.452478,0.793692,0.889807,0.897023,0.168889,class2
0.717666,0.610722,0.050006,0.816151,0.592129,0.928584,0.78836,class2
0.282166,0.937319,0.012725,0.192171,0.380861,0.288899,0.828433,class1
0.391359,0.559717,0.016325,0.187511,0.067997,0.499817,0.053468,class2
0.984703,0.048056,0.523197,0.349795,0.994102,0.809701,0.526548,class2
0.72135,0.587085,0.351925,0.601208,0.632366,0.475109,0.002398,class2
0.668357,0.700298,0.932734,0.461101,0.348753,0.115583,0.862124,class2
0.589482,0.578274,0.354387,0.779509,0.226997,0.830786,0.835453,class2
0.294016,0.14362,0.809323,0.505522,0.618474,0.243002,0.997987,class2
0.698736,0.438124,0.736823,0.395506,0.197343,0.82049,0.994128,class2
0.464032,0.520816,0.125228,0.36936,0.532979,0.882239,0.89771,class2
0.31799,0.255627,0.839982,0.600418,0.237312,0.971319,0.449123,class2
0.547496,0.706278,0.830636,0.109342,0.621864,0.962046,0.735794,class2
0.01335,0.61968,0.633292,0.644651,0.157999,0.899962,0.563201,class2
0.561659,0.868305,0.294426,0.597981,0.5081,0.393675,0.878472,class2
