# neurons, balanced accuracy, cohen kappa, matthews corrcoef
10, 0.734900, 0.323970, 0.392075
25, 0.818331, 0.488978, 0.539672
50, 0.827239, 0.523361, 0.567183
75, 0.848656, 0.577378, 0.613071
100, 0.865817, 0.618702, 0.649211
250, 0.891352, 0.689266, 0.710109
500, 0.902399, 0.719570, 0.736712
750, 0.907375, 0.734744, 0.750030
1000, 0.910026, 0.743030, 0.757099
1500, 0.912910, 0.752928, 0.764872
2000, 0.914799, 0.758683, 0.769890
4000, 0.915880, 0.762085, 0.772829
8000, 0.918824, 0.766987, 0.777508
10000, 0.918516, 0.766848, 0.777441
12500, 0.917220, 0.763312, 0.774450
15000, 0.917049, 0.762638, 0.773544
