# neurons, balanced accuracy, cohen kappa, matthews corrcoef
10, 0.729549, 0.310789, 0.371879
25, 0.737292, 0.337983, 0.392995
50, 0.774545, 0.415919, 0.462181
75, 0.782816, 0.437914, 0.481401
100, 0.792151, 0.460527, 0.500871
250, 0.820906, 0.529658, 0.560548
500, 0.838900, 0.574333, 0.599473
750, 0.846860, 0.594481, 0.617095
1000, 0.850081, 0.602555, 0.624386
1500, 0.856543, 0.619747, 0.639095
2000, 0.859293, 0.626644, 0.645055
4000, 0.865747, 0.641679, 0.658835
8000, 0.868595, 0.650972, 0.667246
10000, 0.866591, 0.647061, 0.663771
12500, 0.868069, 0.650364, 0.666956
15000, 0.867822, 0.651114, 0.667235
