# neurons, balanced accuracy, cohen kappa, matthews corrcoef
10, 0.582061, 0.114659, 0.135472
25, 0.622690, 0.184441, 0.204988
50, 0.641987, 0.215170, 0.237961
75, 0.654603, 0.233054, 0.258300
100, 0.663589, 0.245231, 0.272200
250, 0.680693, 0.270653, 0.300404
500, 0.697206, 0.300172, 0.329469
750, 0.705225, 0.314895, 0.344202
1000, 0.710699, 0.326764, 0.355140
1500, 0.716108, 0.337615, 0.365786
2000, 0.724307, 0.352934, 0.380885
4000, 0.742097, 0.388693, 0.415056
8000, 0.756099, 0.418024, 0.443124
10000, 0.762341, 0.431172, 0.455593
12500, 0.763173, 0.432234, 0.457296
15000, 0.769091, 0.445353, 0.469445
