@relation 'generators.HyperplaneGenerator -a 7'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.939865,0.947195,0.937082,0.397174,0.347518,0.294057,0.506484,class2
0.583354,0.042298,0.761675,0.623973,0.879263,0.450218,0.004853,class1
0.743984,0.142023,0.481728,0.544555,0.5771,0.204914,0.623364,class2
0.683527,0.48626,0.487515,0.126575,0.130209,0.206276,0.845656,class1
0.233156,0.889909,0.038327,0.592379,0.655174,0.119839,0.652477,class1
0.074794,0.743158,0.949583,0.030513,0.691655,0.851691,0.056747,class2
0.265155,0.362896,0.878429,0.290732,0.051448,0.18354,0.63687,class1
0.50766,0.491451,0.428784,0.308093,0.717322,0.962415,0.209493,class1
0.801157,0.109841,0.518787,0.526726,0.360055,0.442536,0.699594,class2
0.983103,0.803619,0.836315,0.163104,0.637497,0.00876,0.63119,class2
0.304236,0.808241,0.427352,0.055122,0.139614,0.596579,0.94726,class1
0.616951,0.481862,0.09975,0.617146,0.02812,0.591439,0.073026,class1
0.642382,0.353339,0.154975,0.366771,0.563477,0.241606,0.018003,class1
0.423233,0.375808,0.271293,0.729824,0.886744,0.043703,0.4577,class2
0.084252,0.557856,0.261327,0.596687,0.967979,0.630471,0.552808,class2
0.907281,0.246486,0.248489,0.706858,0.337721,0.607335,0.315423,class1
0.264864,0.576712,0.131068,0.042047,0.824294,0.577427,0.915886,class2
0.644012,0.11049,0.774604,0.306483,0.880599,0.630401,0.928894,class2
0.241336,0.424253,0.565015,0.049864,0.896314,0.29232,0.797563,class2
0.316631,0.667073,0.426443,0.400557,0.743762,0.365306,0.763755,class2
0.78861,0.007994,0.041043,0.449685,0.267898,0.947848,0.373645,class1
0.781355,0.966254,0.996523,0.239106,0.445181,0.130222,0.234474,class2
0.522141,0.674053,0.334365,0.796836,0.171568,0.164267,0.593331,class1
0.900253,0.035895,0.376426,0.39247,0.416515,0.045004,0.714833,class2
0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,0.266417,class1
0.407575,0.335658,0.137881,0.051575,0.099321,0.679807,0.416175,class1
0.609141,0.178662,0.029633,0.708154,0.277778,0.115788,0.691226,class1
0.394702,0.337935,0.833798,0.388261,0.682843,0.487137,0.072037,class1
0.583743,0.369752,0.945992,0.686431,0.224574,0.444599,0.707614,class2
